sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,dt12,dt23,dt34,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
37,2026-04-03T01:10:28.918,317.2764625,2629.612143,-658.6862503,336.1331467,2553.793968,-655.7535435,355.6747345,2480.831957,-652.5381235,357.7003211,2402.498746,-656.4641781,0.0157508,0.014262,0.0164019,701.5067814,84.02959038,-846.9183706,411.6083787,-2838.721912,-779.8509051,0.6177421,1,1,1
38,2026-04-03T01:10:31.844,147.8004325,2567.001545,-642.3925613,135.6919693,2488.187916,-645.3432762,127.7313052,2412.274568,-648.9360132,115.1923385,2335.216215,-654.4275658,0.0131709,0.0127327,0.0145178,-25.22037443,21.26598897,-923.8157299,-169.4792699,-2617.388417,-1406.714874,0.6726223,1,1,1
39,2026-04-03T01:10:35.041,270.2969175,2626.294218,-933.1975776,262.8085432,2547.511123,-965.8992145,262.4079953,2472.772873,-998.6256087,258.378059,2398.922556,-1033.273778,0.0175216,0.0155408,0.0157416,94.55528088,77.45050225,-1015.053453,-139.6746873,-1998.060454,-1361.792545,0.8397004,1,1,1
40,2026-04-03T01:10:38.022,-202.5216865,2573.410128,-1036.233252,-191.7345539,2486.998298,-1082.742497,-175.3166874,2404.719334,-1124.900432,-169.6299895,2337.516714,-1085.248441,0.0165241,0.0158789,0.0161675,167.3236783,26.34131821,-860.9590206,334.7385331,-2329.447925,245.8384777,0.720659,1,1,1
41,2026-04-03T01:10:40.949,741.5499307,986.2578574,-1546.106581,745.2445687,992.1580097,-1540.411118,749.9577873,999.280115,-1536.222841,755.7740157,1010.167735,-1531.4421,0.0170188,0.0144054,0.0176418,321.1721399,24.04549046,-951.8679708,312.678926,-2176.428663,1010.923265,0.9206417,1,1,1
42,2026-04-03T01:10:43.881,312.9355562,2653.142681,-947.3273697,299.8961736,2578.983525,-978.1765589,289.2426823,2508.610675,-1008.817909,279.1653591,2437.373019,-1041.655659,0.0155002,0.0121645,0.0140187,-35.21163072,-35.471039,-999.2620278,-216.6581806,-1719.590636,622.9356646,0.9352505,1,1,2
43,2026-04-03T01:10:46.640,-93.29150659,2581.280348,-966.2527212,-83.37558111,2497.118859,-1002.108754,-77.89851228,2409.504637,-1041.212386,-65.98864556,2328.617311,-1079.187598,0.0126446,0.0141277,0.0160133,208.4228195,21.63211561,-913.340746,285.5539193,-2360.343124,-157.7331564,0.7169441,1,1,1
44,2026-04-03T01:10:49.523,203.9785364,2593.998202,-963.1327444,209.2155623,2509.30596,-996.9246726,220.4350604,2427.80263,-1031.022051,225.3928898,2343.86778,-1071.895604,0.0160592,0.0157512,0.0171349,433.5790463,57.65778644,-948.9938119,202.1032097,-2246.189382,-776.4578645,0.7486275,1,1,1
45,2026-04-03T01:10:52.469,-116.1403155,2567.753211,-671.3703447,-91.02361737,2489.589317,-686.6300012,-83.76062812,2403.62509,-707.6416365,-96.43121876,2310.104648,-733.9885886,0.0155028,0.015906,0.0167461,50.0494748,10.12178594,-907.777724,195.8027345,-3208.984207,-1342.167032,0.5544959,1,1,1
46,2026-04-03T01:10:54.943,140.484126,2578.894881,-515.6239111,124.8395612,2498.011289,-504.0202306,113.3630226,2419.513155,-495.6010427,102.3375542,2343.410781,-488.5331157,0.0155273,0.0167918,0.0153903,-231.0552261,183.7952835,-801.3592814,-432.8108176,-2788.570133,1393.97169,0.5612991,1,1,1
