sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
51,2026-04-04T17:14:24.171,226.727135,2498.837408,-867.3109809,224.3713711,2436.947839,-914.0162268,225.8342614,2376.344299,-961.9509709,217.2805995,2313.417904,-1013.640912,221.2657736,2253.506819,-1065.79616,217.073425,2195.313216,-1109.361981,0.0159404,0.0158658,0.0156251,0.0165463,0.0154173,81.66866947,-68.82254888,-948.8183702,-75.5487806,-1177.407375,1438.519312,1.2237422,1,1,1
52,2026-04-04T17:18:41.255,372.9136344,2460.813309,-902.6729023,365.5730466,2377.116163,-924.3454149,363.2138126,2296.727461,-947.4444835,358.5934357,2214.441322,-973.6646915,353.6502952,2134.373566,-1002.979469,350.5784864,2056.493843,-1032.384267,0.019716,0.0141467,0.0137981,0.0129418,0.0129647,256.2422486,-12.23612781,-945.9963919,-106.1077799,-2412.999777,-61.3791454,0.6376975,1,1,1
53,2026-04-04T17:19:30.693,142.1906576,2474.421407,-595.2907212,135.2030553,2395.421306,-606.2050856,131.6402803,2317.269229,-619.8147621,122.3236763,2238.431974,-636.7709623,125.8167883,2165.923537,-652.875957,112.2266698,2088.568261,-676.2965987,0.0183689,0.0195814,0.0134775,0.018457,0.015198,-25.92882568,-17.39531567,-864.1191023,-190.0576478,-2823.507684,-1239.676842,0.5786123,1,1,0
54,2026-04-04T17:20:27.229,180.596421,2475.107555,-703.5639994,181.251402,2403.185808,-743.565205,178.4349537,2333.334684,-785.5390201,182.4645285,2263.132985,-829.7060498,183.041742,2195.431283,-877.320089,187.1934505,2129.83199,-924.1163275,0.0170127,0.016781,0.0149061,0.0180879,0.0144455,163.0374296,121.6018199,-800.8550796,-23.73855517,-1592.364624,1224.101362,0.862424,1,1,1
55,2026-04-04T17:20:57.756,255.5444224,2472.432573,-825.8998401,236.1266438,2391.829712,-866.2400348,222.2830815,2314.006948,-905.6666782,204.0009689,2232.747232,-948.5872695,194.9309544,2158.012063,-988.903209,179.5978051,2081.121741,-1030.493063,0.0157758,0.0154228,0.0182755,0.0147894,0.0131564,-241.7845872,57.82558121,-884.4131266,-437.7876338,-2062.092004,804.0824084,0.7049261,1,1,1
56,2026-04-04T17:21:04.856,455.2151054,2456.726389,-897.4995408,454.3612253,2377.159094,-941.1158212,448.392652,2298.748448,-986.3986314,446.1680949,2221.959581,-1031.733273,442.9462699,2145.254897,-1077.907601,438.6070595,2076.682169,-1087.214646,0.0166736,0.0149709,0.0115779,0.0138363,0.0163554,265.8684103,-20.67912983,-836.1327742,-165.095682,-2011.117625,129.7669495,0.7703007,1,1,1
57,2026-04-04T17:21:12.869,471.3706808,2521.938611,-937.6708361,489.7126264,2450.704722,-966.2596948,484.8979314,2373.871887,-1009.018194,474.9510735,2295.035747,-1056.494825,469.3430356,2218.573589,-1104.1842,464.2096387,2158.607399,-1066.137465,0.015508,0.0172387,0.0158665,0.0142338,0.0122872,201.0714598,-22.43243481,-852.8865259,-268.9572708,-2202.8442,245.32618,0.7261377,1,1,1
58,2026-04-04T17:21:44.233,-193.0838741,2521.219573,-897.4470121,-163.6012645,2451.286453,-938.1536056,-162.4557742,2382.053421,-985.7619736,-143.1725068,2314.12395,-1028.621765,-134.8085124,2247.672207,-1077.614101,-130.4421886,2181.774869,-1113.960299,0.0134911,0.0162849,0.0173923,0.0136148,0.015145,234.6360052,72.08578249,-939.5306621,275.8499279,-1618.040051,-1491.143587,0.9578884,1,1,1
59,2026-04-04T17:21:54.514,-383.7225473,2577.254906,-951.5071312,-341.8311321,2501.00168,-988.677522,-322.1244711,2421.761357,-1038.09374,-302.015314,2343.726747,-1086.414111,-281.716169,2273.594635,-1109.818169,-268.2751506,2217.39201,-1066.08003,0.0139645,0.0169629,0.0146976,0.0170402,0.015111,273.963468,75.10896378,-840.5349788,536.7136984,-2097.913399,328.0861246,0.748134,1,1,1
60,2026-04-04T17:22:00.186,413.8250379,2512.730688,-940.4340856,392.4454406,2443.33764,-987.3474464,367.7208566,2373.886914,-1036.090813,346.9151593,2305.748436,-1086.119767,327.3910628,2248.767099,-1083.958803,312.8927611,2202.229193,-1040.087996,0.016411,0.0162847,0.0168995,0.0155546,0.0157997,-393.796338,121.4979339,-881.2000524,-587.3236472,-1747.479964,-997.1153109,0.8841355,1,1,0
