frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
587,14.0552,-30.5,278.9,-1091.8,-102.88,33.23,175.37,202.4,1.07
588,14.0771,-26.4,279.1,-1088.4,-102.81,33.01,174.88,203.0,0.58
589,14.0986,-22.2,278.5,-1087.0,-102.81,32.98,174.44,203.5,0.82
590,14.1222,-17.6,279.3,-1085.9,-102.69,32.99,173.98,204.0,1.14
591,14.1457,-27.2,269.4,-1089.6,-103.78,33.12,174.89,202.9,0.56
592,14.1681,-23.1,269.9,-1087.7,-103.68,33.04,174.45,203.4,0.74
593,14.1926,-24.3,264.8,-1088.0,-104.2,33.04,174.52,203.2,0.72
594,14.2193,-23.2,263.1,-1087.6,-104.36,33.03,174.38,203.4,0.74
595,14.2427,-22.1,259.5,-1086.4,-104.7,32.95,174.21,203.5,0.46
596,14.2722,-33.6,247.6,-1090.1,-106.02,33.04,175.27,202.2,1.2
606,14.5045,-29.7,212.3,-1085.4,-109.47,32.72,174.38,202.9,0.46
607,14.5318,-26.1,210.8,-1083.7,-109.58,32.64,173.98,203.3,0.15
608,14.559,-31.2,203.6,-1085.7,-110.35,32.73,174.44,202.7,0.37
612,14.662,-25.3,188.5,-1082.2,-111.79,32.55,173.61,203.5,0.29
613,14.6882,-27.1,185.0,-1082.7,-112.15,32.56,173.76,203.3,0.43
618,14.8218,-32.4,158.4,-1085.6,-114.86,32.74,174.04,202.7,0.01
619,14.8503,-36.6,151.5,-1087.7,-115.6,32.84,174.42,202.3,0.01
620,14.875,-30.8,151.8,-1086.3,-115.5,32.86,173.83,202.9,0.5
621,14.8996,-37.7,144.3,-1088.7,-116.33,32.92,174.47,202.1,0.36
622,14.9234,-33.2,144.0,-1086.1,-116.3,32.78,173.97,202.7,0.25
623,14.9465,-32.7,141.8,-1086.0,-116.51,32.79,173.9,202.7,0.36
624,14.972,-36.6,136.4,-1087.6,-117.1,32.86,174.25,202.3,0.3
