sample_id,captured_at,point_index,t_abs,dt_from_prev_s,t_from_first_accepted_s,t_from_p6_s,x,y,z,in_workspace,dist_to_workspace_center_mm,is_first6,is_after_p6,is_selected_hit
236,2026-04-05T00:53:14.895,41,195221.3998933,0.019189199985703453,0.6348927000071853,0.5597458999836817,-30.415073458161714,-248.3322193059039,-895.7726165134062,1.0,250.22357724643703,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,42,195221.4127458,0.012852499989094213,0.6477451999962796,0.572598399972776,-33.913496369683344,-293.6233698814899,-920.0266956379234,1.0,296.2530626251023,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,43,195221.427436,0.01469020001241006,0.6624354000086896,0.587288599985186,-33.54878090508282,-331.284648434706,-942.3889429068926,1.0,335.6662948070417,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,44,195221.4439601,0.01652410000679083,0.6789595000154804,0.6038126999919768,-51.848873761558025,-387.9449857076961,-975.1015373562129,1.0,398.53463909596763,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,45,195221.4585566,0.014596499997423962,0.6935560000129044,0.6184091999894008,-38.232064409794475,-416.62596857412746,-999.875387632488,1.0,430.1325162018145,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,46,195221.4743263,0.015769699995871633,0.709325700008776,0.6341788999852724,-54.50047242808296,-471.1037746285481,-1034.124309605731,0.0,492.84723636372763,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,47,195221.4899178,0.015591500006848946,0.724917200015625,0.6497703999921214,-9.986469198495797,-460.50902142266295,-1050.9604444601796,0.0,484.72398761596907,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,48,195221.5800447,0.09012690000236034,0.8150441000179853,0.7398972999944817,393.1994539596742,-71.0482167584214,-979.34964170297,1.0,407.3696421398228,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,49,195221.5947847,0.014739999984158203,0.8297841000021435,0.7546372999786399,399.9928056531023,-62.46498039400058,-981.9150670450916,1.0,413.045029698779,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,50,195221.6102253,0.015440600021975115,0.8452247000241186,0.770077900000615,404.73758213840006,-57.70480876711508,-991.5113460823552,1.0,418.9471109959968,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,51,195221.6251806,0.01495529999374412,0.8601800000178628,0.7850331999943592,-150.82648767933506,-461.4136088174339,-1207.22679596529,0.0,574.4906021395916,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,52,195221.6410629,0.015882299980148673,0.8760622999980114,0.8009154999745078,-166.46574531297347,-469.92577169012384,-1224.5976541853315,0.0,594.8989093650973,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,53,195221.6587414,0.01767850000760518,0.8937408000056166,0.818593999982113,-163.00276543566815,-463.8527358805161,-1241.0946622266933,0.0,598.3935416789333,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,54,195221.6738065,0.01506510001490824,0.9088059000205249,0.8336590999970213,-154.6695957824727,-451.1175581815612,-1255.0686799403131,0.0,594.5616054150859,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,55,195221.6892852,0.015478699991945177,0.92428460001247,0.8491377999889664,-160.4772158562264,-447.65536047326464,-1273.8581694078446,0.0,604.9117203380994,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,56,195221.7044641,0.015178900008322671,0.9394635000207927,0.8643166999972891,-150.7725927538395,-433.99555872267547,-1287.4315317374883,0.0,600.9889445748389,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,57,195221.718817,0.014352899976074696,0.9538163999968674,0.8786695999733638,414.3112740949507,-21.807661940292746,-1082.3578110594926,0.0,453.1928697760955,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,58,195221.7341802,0.015363200014689937,0.9691796000115573,0.8940327999880537,17.53835605840777,-440.2740504222745,-1244.3382356196862,0.0,559.2116360718414,0.0,1.0,0.0
236,2026-04-05T00:53:14.895,59,195221.7494477,0.015267499984474853,0.9844470999960322,0.9093002999725286,16.887408045497978,-435.0118459063474,-1268.7908201810255,0.0,570.549874839296,0.0,1.0,0.0
